,State,Plant,County,Latitude,Longitude,Nameplate capacity (MW),Balancing Authority,Emission intensity (ton/MWh)
175,ND,Antelope Valley,Mercer,47.370542,-101.83566,954,Southwest Power Pool,1.180655
176,ND,Coal Creek,McLean,47.377743,-101.157058,1217.6,"Midcontinent Independent Transmission System Operator, Inc..",1.01935
177,ND,Coyote,Mercer,47.221447,-101.815722,450,"Midcontinent Independent Transmission System Operator, Inc..",1.225005
178,ND,Leland Olds,Mercer,47.280769,-101.321213,656,Southwest Power Pool,1.227285
179,ND,Milton R Young,Oliver,47.065854,-101.213093,734,"Midcontinent Independent Transmission System Operator, Inc..",1.229625
180,ND,R M Heskett,Morton,46.8669,-100.8836,291,"Midcontinent Independent Transmission System Operator, Inc..",1.144165
181,ND,Spiritwood Station,Stutsman,46.926423,-98.499713,106.2,"Midcontinent Independent Transmission System Operator, Inc..",0.676345
182,NE,Archer Daniels Midland Columbus,Platte,41.416442,-97.286328,71.4,Southwest Power Pool,0.841735
183,NE,Archer Daniels Midland Lincoln,Lancaster,40.866463,-96.614486,7.9,Southwest Power Pool,0.61628
184,NE,Gerald Gentleman Station,Lincoln,41.0808,-101.1408,1362.6,Southwest Power Pool,1.04171
185,NE,Gerald Whelan Energy Center,Adams,40.580872,-98.312437,324.3,Southwest Power Pool,1.202745
186,NE,Lon D Wright Power Plant,Dodge,41.4281,-96.4623,213.2,Southwest Power Pool,0.915285
187,NE,Nebraska City Station,Otoe,40.6214,-95.7764,1389.6,Southwest Power Pool,1.0686
188,NE,North Omaha Station,Douglas,41.32909,-95.94466,644.7,Southwest Power Pool,1.1826
189,NE,Platte,Hall,40.854765,-98.348222,109.8,Southwest Power Pool,1.312705
190,NE,Sheldon,Lancaster,40.5589,-96.7847,228.7,Southwest Power Pool,1.19931
191,NE,Western Sugar Coop - Scottsbluff,Scotts Bluff,41.85887,-103.63438,5,Southwest Power Pool,10.00301
192,NH,Merrimack,Merrimack,43.1411,-71.4692,496.4,ISO New England Inc.,1.316565
193,NJ,B L England,Cape May,39.2908,-74.6364,804.6,"PJM Interconnection, LLC",1.25665
194,NJ,Carneys Point,Salem,39.693494,-75.485811,285,"PJM Interconnection, LLC",0.852235
195,NJ,Logan Generating Plant,Gloucester,39.7928,-75.406667,242.3,"PJM Interconnection, LLC",1.27634
196,NM,Escalante,McKinley,35.4159,-108.082,257,Western Area Power Administration - Rocky Mountain Region,1.138805
197,NM,Four Corners Steam Elec Station,San Juan,36.69,-108.4814,2269.6,Arizona Public Service Company,1.123235
198,NM,San Juan,San Juan,36.8006,-108.4386,1848,Public Service Company of New Mexico,1.2758
199,NV,North Valmy,Humboldt,40.881317,-117.151605,567,Nevada Power Company,1.11888
200,NV,TS Power Plant,Eureka,40.7461,-116.5297,409.6,Nevada Power Company,1.127435
201,NY,"Cayuga Operating Company, LLC",Tompkins,42.6028,-76.6336,322.5,New York Independent System Operator,1.11874
202,NY,Somerset Operating Company  (Kintigh),Niagara,43.358889,-78.604722,655.1,New York Independent System Operator,1.00625
203,OH,Avon Lake Power Plant,Lorain,41.504453,-82.054619,873.1,"PJM Interconnection, LLC",0.982465
204,OH,Cardinal,Jefferson,40.2522,-80.6486,1880.4,"PJM Interconnection, LLC",1.03158
205,OH,Conesville,Coshocton,40.1842,-81.8811,2174.8,"PJM Interconnection, LLC",1.137885
206,OH,Dover,Tuscarawas,40.520066,-81.46815,53.6,"PJM Interconnection, LLC",1.72447
207,OH,Gen J M Gavin,Gallia,38.9347,-82.1158,2600,"PJM Interconnection, LLC",0.98826
208,OH,Kyger Creek,Gallia,38.9144,-82.1289,1086.5,Ohio Valley Electric Corporation,1.123615
209,OH,Miami Fort Power Station,Hamilton,39.1128,-84.8036,1444,"PJM Interconnection, LLC",1.007445
210,OH,Painesville,Lake,41.7265,-81.254,55.5,"PJM Interconnection, LLC",1.731305
211,OH,W H Sammis,Jefferson,40.5317,-80.6319,2468.1,"PJM Interconnection, LLC",1.191715
212,OH,W H Zimmer Generating Station,Clermont,38.8675,-84.2289,1425.6,"PJM Interconnection, LLC",0.960885
213,OH,Wausau Paper Middletown,Butler,39.519989,-84.406153,7.5,"PJM Interconnection, LLC",0.578065
214,OK,"AES Shady Point, LLC",Le Flore,35.1931,-94.6458,350,Southwest Power Pool,1.358675
215,OK,Hugo,Choctaw,34.0158,-95.3206,1196,Southwest Power Pool,1.29522
216,OK,Muskogee,Muskogee,35.76135,-95.28732,1889,Southwest Power Pool,1.199335
217,OK,Muskogee Mill,Muskogee,35.7322,-95.2939,114,Southwest Power Pool,0.574285
218,OK,Northeastern,Rogers,36.4317,-95.7008,1950.5,Southwest Power Pool,0.839665
219,OK,Sooner,Noble,36.45307,-97.05279,2088,Southwest Power Pool,1.11529
220,OR,Boardman,Morrow,45.693182,-119.808819,642.2,Portland General Electric Company,1.286675
221,PA,Bruce Mansfield,Beaver,40.6348,-80.4159,2741.1,"PJM Interconnection, LLC",1.15968
222,PA,"Brunner Island, LLC",York,40.096111,-76.6962,1624.2,"PJM Interconnection, LLC",1.01156
223,PA,Cambria Cogen,Cambria,40.474167,-78.7014,98,"PJM Interconnection, LLC",1.19201
224,PA,Cheswick,Allegheny,40.5383,-79.7906,637,"PJM Interconnection, LLC",1.179205
225,PA,Colver Power Project,Cambria,40.55,-78.8,118,"PJM Interconnection, LLC",1.34768
226,PA,Conemaugh,Indiana,40.3842,-79.0611,1963,"PJM Interconnection, LLC",1.024325
227,PA,Ebensburg Power Company,Cambria,40.455,-78.7472,57.6,"PJM Interconnection, LLC",1.78306
228,PA,Gilberton Power Company,Schuylkill,40.7903,-76.1983,88.4,"PJM Interconnection, LLC",1.481525
229,PA,Homer City,Indiana,40.512825,-79.196107,2012,"PJM Interconnection, LLC",1.146675
230,PA,Keystone,Armstrong,40.6604,-79.3411,1883.2,"PJM Interconnection, LLC",1.02046
231,PA,"Montour, LLC",Montour,41.0714,-76.6672,1775.1,"PJM Interconnection, LLC",1.04476
232,PA,Mt. Carmel Cogeneration,Northumberland,40.811189,-76.452951,47.3,"PJM Interconnection, LLC",1.947025
233,PA,Northampton Generating Plant,Northampton,40.6917,-75.4792,134.1,"PJM Interconnection, LLC",1.00336
234,PA,Panther Creek Energy Facility,Carbon,40.8556,-75.8781,94,"PJM Interconnection, LLC",1.296495
235,PA,Scrubgrass Generating Plant,Venango,41.2691,-79.8134,94.7,"PJM Interconnection, LLC",1.583145
236,PA,Seward,Indiana,40.40625,-79.03366,803.2,"PJM Interconnection, LLC",1.11866
237,PA,St. Nicholas Cogeneration Project,Schuylkill,40.8222,-76.1736,99.2,"PJM Interconnection, LLC",1.89233
238,PA,Wheelabrator - Frackville,Schuylkill,40.782377,-76.176184,48,"PJM Interconnection, LLC",1.616765
239,PA,"WPS Westwood Generation, LLC",Schuylkill,40.6191,-76.45,36,"PJM Interconnection, LLC",2.240955
240,SC,Cope Station,Orangeburg,33.3644,-81.03,417.3,South Carolina Electric & Gas Company,0.8603
241,SC,Cross,Berkeley,33.371506,-80.113235,2390.1,South Carolina Public Service Authority,1.1202
242,SC,Wateree,Richland,33.8264,-80.6228,771.8,South Carolina Electric & Gas Company,1.01751
243,SC,Williams,Berkeley,33.0158,-79.9297,713.5,South Carolina Electric & Gas Company,0.96189
244,SC,Winyah,Georgetown,33.33184,-79.357236,1260,South Carolina Public Service Authority,1.211205
245,SD,Big Stone,Grant,45.303652,-96.510067,451,"Midcontinent Independent Transmission System Operator, Inc..",1.12663
246,TN,Bull Run,Anderson,36.0211,-84.1567,950,Tennessee Valley Authority,1.126235
247,TN,Cumberland,Stewart,36.3903,-87.6539,2600,Tennessee Valley Authority,1.066995
